TOWN,2020 TOTAL
Waterford ,19394
Bethlehem ,3708
Stafford ,12585
Woodstock ,8607
Hamden ,65986
Norwalk ,88797
Bloomfield ,21084
Avon ,19665
New Canaan ,19659
Granby,11695
Tolland ,16191
Meriden ,63141
Easton ,7359
Brooklyn ,9079
Chester ,3973
Simsbury ,23208
Colebrook ,1467
Ridgefield ,24580
Glastonbury ,35915
Ledyard ,14790
Griswold ,13155
Somers ,10402
Seymour ,17421
Greenwich ,59372
Fairfield ,59024
Vernon,30658
East Granby ,5341
Windsor Locks,12997
North Haven ,24965
Deep River ,4488
Bridgewater ,1576
Shelton ,40094
Bolton ,4882
Watertown ,23020
Hampton ,1894
Thomaston ,8108
Westbrook ,7365
New Hartford ,7554
Washington ,3439
Union ,956
Orange ,14450
Naugatuck ,32877
Bethany ,5909
Stratford ,53126
Sprague ,3031
New Britain ,76017
Bethel ,18503
Westport ,26213
Farmington ,26688
Newtown ,28427
Hartford ,126656
Ashford ,4483
Lisbon ,4504
Rocky Hill ,21341
Norwich ,45132
Wolcott ,17818
Norfolk ,1699
Durham ,7803
West Haven ,56739
Putnam ,10245
Roxbury ,2314
Ellington ,18019
Columbia ,5793
Bozrah ,2899
Weston ,10186
South Windsor ,26172
Harwinton ,5776
Newington ,32301
Old Lyme ,7473
Trumbull,36190
Canaan ,1224
Cheshire ,29122
Windham ,26046
North Branford ,14378
Warren ,1598
Wethersfield,27342
Kent ,2989
East Hampton ,12693
Portland ,10017
Morris ,2461
Coventry ,13024
Thompson ,9924
Franklin ,1986
West Hartford,63007
Monroe ,18960
Sherman ,3277
Haddam ,9128
Salem,4295
Killingly,17974
Cromwell ,14853
Plainville,18498
Plainfield ,15992
New Haven ,140446
Winchester ,11693
Brookfield ,16705
Montville ,23902
Waterbury ,115126
Voluntown ,2543
Lyme,2682
Hebron ,10185
Burlington ,9858
Preston ,4699
Branford ,27346
Wilton ,17826
Berlin ,21017
Salisbury ,3452
Plymouth,12790
Ansonia ,20169
Andover ,3382
Torrington ,37392
Clinton ,12841
Oxford ,14714
Milford ,53039
Danbury ,87490
Southbury ,20479
Windsor ,29700
Scotland ,1820
Darien ,20730
Litchfield ,8411
East Haven ,30053
East Windsor ,12542
Barkhamsted ,3935
Marlborough ,6686
Enfield ,42302
New London ,23831
Madison ,18036
Woodbury ,10393
Southington ,45141
North Canaan ,3328
Middlebury ,8475
Middlefield ,4483
Essex ,6562
Beacon Falls ,6648
New Milford ,28058
Manchester ,63457
Chaplin ,2262
Cornwall ,1335
Old Saybrook ,9640
Eastford ,1871
Willington ,6543
New Fairfield ,13272
Groton,38172
Lebanon ,7592
Stonington ,18628
Canton ,11279
North Stonington ,5270
Mansfield ,27479
Bridgeport ,150764
Killingworth ,6618
East Lyme ,18993
Bristol ,60956
Suffield ,15766
Sterling ,4472
Woodbridge ,8819
Colchester ,16925
Pomfret ,4678
East Hartford ,53383
Stamford ,130830
Redding,9233
Canterbury ,5483
Wallingford ,46699
Derby ,13580
Sharon ,2536
Goshen ,3177
Prospect ,9866
East Haddam ,9463
Guilford ,22426
Middletown ,51373
Hartland ,2065
